niche,rating,review_count,website_missing,has_phone,has_description,name_token_count,address_completeness,proxy_score,worth_outreach,label_source
local service business,3.94,112,1,1,0,3,0.8061309077421026,5.6,0,proxy:v1-sales-heuristic-2026-09
home services,3.9,36,0,1,0,5,0.8996890462857359,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.57,23,0,1,1,4,0.981970112162505,2.6,0,proxy:v1-sales-heuristic-2026-09
pets,4.6,2022,0,1,0,1,0.8946624135947524,1.5,0,proxy:v1-sales-heuristic-2026-09
automotive,3.86,85,0,1,1,1,0.5048147066023905,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.93,9,1,1,1,6,0.7131467336773841,5.6,1,proxy:v1-sales-heuristic-2026-09
legal services,4.45,22,1,1,1,4,0.8494485175725109,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.69,3,0,1,0,6,0.9724089012785635,2.0,0,proxy:v1-sales-heuristic-2026-09
automotive,3.92,2002,0,1,0,1,0.5288484414325167,1.5,0,proxy:v1-sales-heuristic-2026-09
home services,4.2,237,0,1,0,3,0.9803979995194979,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.7,26,0,1,1,4,0.601719898234174,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.82,2,0,1,0,6,0.8302920157057603,2.0,0,proxy:v1-sales-heuristic-2026-09
fitness,3.14,47,0,1,1,5,0.7769360629056037,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,3.1,9,0,1,0,4,0.8986856428759175,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
home services,3.46,11,0,1,1,2,0.9073433304939146,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.43,48,1,1,0,6,0.3532160340050292,6.6,1,proxy:v1-sales-heuristic-2026-09
health care,4.06,32,1,1,0,2,0.7602696163249704,6.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.5,14,0,1,0,2,0.8672075245735331,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.76,12,0,1,0,5,0.9350093784158464,2.6,0,proxy:v1-sales-heuristic-2026-09
fitness,3.72,28,0,1,0,6,0.4819948395331118,3.6,1,proxy:v1-sales-heuristic-2026-09
legal services,3.91,15,0,1,0,6,0.6753539708745223,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.88,2448,0,1,0,2,0.646158254750123,-0.2999999999999998,0,proxy:v1-sales-heuristic-2026-09
local service business,4.51,17,0,1,0,5,0.9483753843598293,2.6,0,proxy:v1-sales-heuristic-2026-09
local service business,4.16,35,0,0,0,3,0.8308033209968004,1.4,0,proxy:v1-sales-heuristic-2026-09
local service business,3.9,20,0,1,0,2,0.9711954868168687,2.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.91,5,1,1,0,6,0.9088072687792068,6.0,1,proxy:v1-sales-heuristic-2026-09
home services,4.33,72,0,1,0,6,0.37931572369213096,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.47,1,1,1,0,3,0.5282603214259733,6.0,1,proxy:v1-sales-heuristic-2026-09
automotive,3.65,15,1,1,1,1,0.5105168276081862,6.6,1,proxy:v1-sales-heuristic-2026-09
pets,4.17,12,1,0,0,2,0.8869458408880108,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
legal services,3.03,28,0,1,0,4,0.8356346779727977,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,4.27,45,0,1,0,1,0.7732071196391214,2.6,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.57,84,0,1,0,2,0.8842548710301891,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.0,11,0,1,1,1,0.8694977770663945,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,5.0,46,1,0,0,6,0.9035915573756654,4.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.67,30,1,0,0,3,0.8874013604697978,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
automotive,4.27,3,1,1,1,3,0.6480484641591686,6.0,1,proxy:v1-sales-heuristic-2026-09
home services,4.13,198,0,1,0,3,0.8587330014986889,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.09,5,0,1,1,1,0.9524825735064277,3.0,1,proxy:v1-sales-heuristic-2026-09
fitness,4.09,38,0,1,0,4,0.9447598089357635,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.21,37,0,1,0,6,0.5678571985325472,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.62,33,0,1,0,5,0.9309021067446199,2.6,0,proxy:v1-sales-heuristic-2026-09
pets,4.91,14,0,1,1,2,0.638519088677019,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.15,60,0,1,1,1,0.63634369387227,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.6,4,0,1,1,5,0.8237141750161956,2.0,0,proxy:v1-sales-heuristic-2026-09
local service business,3.76,22,0,1,0,6,0.548422286946984,2.6,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.57,13,0,1,0,6,0.8485105646183783,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.73,11,0,1,0,4,0.6341831738491449,3.6,1,proxy:v1-sales-heuristic-2026-09
pets,4.75,39,0,1,0,3,0.6787133899369551,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
automotive,5.0,80,0,1,1,5,0.869428924600676,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.08,16,1,1,1,5,0.7579951813099055,6.6,1,proxy:v1-sales-heuristic-2026-09
automotive,2.94,57,0,1,0,5,0.6791812483473988,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,3.85,3049,0,1,0,2,0.49624165150666516,-0.30000000000000004,0,proxy:v1-sales-heuristic-2026-09
fitness,4.83,9,0,1,1,6,0.5643222359935071,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
pets,4.45,18,0,1,0,1,0.7511491657254441,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.29,17,0,1,0,1,0.5388597467332377,2.6,1,proxy:v1-sales-heuristic-2026-09
